Element1_Phase,Element2_Phase,Element3_Phase,Element4_Phase,Element5_Phase,Element6_Phase,Element7_Phase,Element8_Phase,Element9_Phase,Element10_Phase,Element11_Phase,Element12_Phase,Element13_Phase,Element14_Phase,Element15_Phase,Element16_Phase,Element17_Phase,Element18_Phase,Element19_Phase,Element20_Phase,Element21_Phase,Element22_Phase,Element23_Phase,Element24_Phase,Element25_Phase,Element26_Phase,Element27_Phase,Element28_Phase,Element29_Phase,Element30_Phase,Element31_Phase,Element32_Phase,Element33_Phase,Element34_Phase,Element35_Phase,Element36_Phase,Element37_Phase,Element38_Phase,Element39_Phase,Element40_Phase,Element41_Phase,Element42_Phase,Element43_Phase,Element44_Phase,Element45_Phase,Element46_Phase,Element47_Phase,Element48_Phase,Element49_Phase,Element50_Phase,Element51_Phase,Element52_Phase,Element53_Phase,Element54_Phase,Element55_Phase,Element56_Phase,Element57_Phase,Element58_Phase,Element59_Phase,Element60_Phase,Element61_Phase,Element62_Phase,Element63_Phase,Element64_Phase,UE1_SINR,UE1_Datarate,Average_SINR,Average_Datarate,Sum_SINR,Sum_Datarate
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.62072,16.81585,50.62072,16.81585,50.62072,16.81585
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,44.715416,14.854188,44.715416,14.854188,44.715416,14.854188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,45.449158,15.097923,45.449158,15.097923,45.449158,15.097923
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,40.051033,13.304807,40.051033,13.304807,40.051033,13.304807
0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.911278,14.9192505,44.911278,14.9192505,44.911278,14.9192505
0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,38.42059,12.763251,38.42059,12.763251,38.42059,12.763251
0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,38.31073,12.726762,38.31073,12.726762,38.31073,12.726762
0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,46.38914,15.410172,46.38914,15.410172,46.38914,15.410172
3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.17171,14.67358,44.17171,14.67358,44.17171,14.67358
3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,39.173332,13.013274,39.173332,13.013274,39.173332,13.013274
3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,39.198414,13.021605,39.198414,13.021605,39.198414,13.021605
3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,47.09665,15.645196,47.09665,15.645196,47.09665,15.645196
3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.72367,12.531776,37.72367,12.531776,37.72367,12.531776
3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,46.969734,15.603036,46.969734,15.603036,46.969734,15.603036
3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,3.1415927,3.1415927,3.1415927,3.1415927,0.0,0.0,0.0,0.0,46.45359,15.431581,46.45359,15.431581,46.45359,15.431581
3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,3.1415927,51.72722,17.18342,51.72722,17.18342,51.72722,17.18342
